,Name,Marriage Dates,First Marriage Date,Divorce Dates,Marriage Lengths,Average Marriage Lengths
0,Rixa of Werle,[],,[],[],
1,Riyaz Khan,[],,[],[],
2,Rizwanur Rahman,[],,[],[],
3,Roald Dahl,"[1953, 1983]",1953.0,[1983],[30],30.0
4,Rob Ackerman (playwright),[],,[],[],
5,Rob Akers,[],,[],[],
6,Rob Andrew,[],,[],[],
7,Rob Andrews,[],,[],[],
8,Rob Estes,"[1992, 2010]",1992.0,[2006],[14],14.0
9,Rob Ford,[2000],2000.0,[],[],
10,Rob Krupicka,[],,[],[],
11,Rob Kutner,[],,[],[],
12,Rob Mariano,[2005],2005.0,[],[],
13,Rob McElhenney,[2008],2008.0,[],[],
14,Rob Pike,[],,[],[],
15,Rob Reiner,[],,[],[],
16,Rob Sitch,[],,[],[],
17,Rob Spendlove,[],,[],[],
18,Rob Zicari,[],,[],[],
19,Rob van Gijzel,[],,[],[],
20,Robb Stark,[],,[],[],
21,Robbie Waterhouse,[],,[],[],
22,Robby Benson,[1982],1982.0,[],[],
23,"Robert, 1st Earl of Gloucester",[],,[],[],
24,"Robert, Archduke of Austria-Este",[],,[],[],
25,"Robert, Count of Clermont",[],,[],[],
26,"Robert, Duke of Bar",[],,[],[],
27,"Robert, King of Naples",[],,[],[],
28,Robert (Tex) Allen,[],,[],[],
29,Robert A. Altman,[1984],1984.0,[],[],
30,Robert A. Cook,[],,[],[],
31,Robert A. Daly,[],,[],[],
32,Robert A. Heinlein,"[1929, 1932, 1948]",1929.0,"[1930, 1947]","[1, 15]",8.0
33,Robert A. Schwartz,[],,[],[],
34,Robert Amadas,[],,[],[],
35,Robert Ames (actor),[],,[],[],
36,Robert Anderson (playwright),[],,[],[],
37,Robert Armstrong (actor),[],,[],[],
38,Robert Arrigo,[],,[],[],
39,Robert Aschberg,[],,[],[],
40,Robert B. Meyner,[],,[],[],
41,Robert B. Oakley,[1958],1958.0,[],[],
42,Robert Badinter,[],,[],[],
43,Robert Baratheon,[],,[],[],
44,Robert Barnett (lawyer),[],,[],[],
45,Robert Bauer,[],,[],[],
46,Robert Ben Garant,[],,[],[],
47,Robert Blake (actor),[],,[],[],
48,Robert Bly,[],,[],[],
49,Robert Boardman Howard,[],,[],[],
50,Robert Borden,[1889],1889.0,[],[],
51,Robert Bork,[],,[],[],
52,Robert Bringhurst,[],,[],[],
53,Robert Bropho,[],,[],[],
54,"Robert Bulwer-Lytton, 1st Earl of Lytton",[],,[],[],
55,Robert C. Dynes,[],,[],[],
56,Robert C. Maynard,[],,[],[],
57,Robert Campbell (1769–1846),[],,[],[],
58,"Robert Carr, 1st Earl of Somerset",[],,[],[],
59,Robert Carter III,[],,[],[],
60,Robert Chambers (sculptor),[],,[],[],
61,Robert Chartoff,[],,[],[],
62,Robert Chase,[],,[],[],
63,Robert Chote,[],,[],[],
64,Robert Coombs,[],,[],[],
65,Robert Cooper Lee Bevan,[],,[],[],
66,Robert Corruccini,[],,[],[],
67,Robert Cosgrove,[],,[],[],
68,Robert Culp,[],,[],[],
69,Robert Cummings,"[1931, 1933, 1945, 1971, 1989]",1931.0,[],[],
70,Robert Curthose,[],,[],[],
71,Robert D. Webb,[],,[],[],
72,Robert Day (director),[],,[],[],
73,Robert De Niro,"[1976, 1997]",1976.0,[1988],[12],12.0
74,Robert Desiderio,[],,[],[],
75,"Robert Devereux, 3rd Earl of Essex",[],,[],[],
76,Robert Donat,[],,[],[],
77,Robert Douglas (actor),[],,[],[],
78,Robert Downey Jr.,"[1992, 2005]",1992.0,[2004],[12],12.0
79,Robert Downey Sr.,"[1962, 1991, 1998]",1962.0,[1975],[13],13.0
80,Robert Dudley (explorer),[],,[],[],
